zip,lat,lng,city,state_id,population
77494,29.74566,-95.82302,Katy,TX,137213
08701,40.07635,-74.20311,Lakewood,NJ,136784
77449,29.83674,-95.73547,Katy,TX,123042
78660,30.44361,-97.59558,Pflugerville,TX,118437
77433,29.9492,-95.73979,Cypress,TX,112211
60629,41.7754,-87.71239,Chicago,IL,109292
77084,29.82698,-95.6612,Houston,TX,109115
11368,40.74962,-73.85264,Corona,NY,107060
11208,40.67481,-73.87243,Brooklyn,NY,106901
79936,31.77373,-106.29631,El Paso,TX,104427
11385,40.70103,-73.89011,Ridgewood,NY,103865
92336,34.13686,-117.46033,Fontana,CA,103393
90011,34.00689,-118.25861,Los Angeles,CA,102784
37013,36.04658,-86.63445,Antioch,TN,102055
90650,33.90703,-118.08249,Norwalk,CA,100808
30044,33.92207,-84.06924,Lawrenceville,GA,100471
11226,40.64636,-73.95666,Brooklyn,NY,100022
94565,38.00926,-121.92886,Pittsburg,CA,99933
11373,40.73892,-73.87854,Elmhurst,NY,99433
91331,34.25602,-118.41939,Pacoima,CA,98820
77573,29.50213,-95.08636,League City,TX,97871
79938,31.85764,-106.03895,El Paso,TX,97851
10467,40.87522,-73.872,Bronx,NY,96304
77429,29.99068,-95.65808,Cypress,TX,95938
90044,33.95253,-118.29194,Los Angeles,CA,95859
78130,29.69224,-98.06877,New Braunfels,TX,95787
75052,32.66455,-97.02809,Grand Prairie,TX,95485
92335,34.08733,-117.46519,Fontana,CA,95295
11236,40.63951,-73.90098,Brooklyn,NY,95174
90250,33.91383,-118.34996,Hawthorne,CA,94991
11219,40.63267,-73.99672,Brooklyn,NY,94737
90805,33.86494,-118.18051,Long Beach,CA,94631
90201,33.97113,-118.1709,Bell Gardens,CA,93783
10314,40.60086,-74.16306,Staten Island,NY,93539
91342,34.31778,-118.39207,Sylmar,CA,93513
11207,40.67016,-73.89383,Brooklyn,NY,93445
78641,30.55851,-97.91473,Leander,TX,93399
10025,40.79825,-73.96831,New York,NY,93223
34787,28.48309,-81.62833,Winter Garden,FL,93064
77479,29.56503,-95.6346,Sugar Land,TX,92355
60618,41.94694,-87.70263,Chicago,IL,91896
90280,33.94453,-118.19256,South Gate,CA,91719
78245,29.40106,-98.73549,San Antonio,TX,91388
77584,29.54577,-95.35013,Pearland,TX,90979
11220,40.64142,-74.01741,Brooklyn,NY,90792
11221,40.6914,-73.92764,Brooklyn,NY,90750
92683,33.75242,-117.99383,Westminster,CA,90140
11206,40.7019,-73.94254,Brooklyn,NY,89231
78613,30.50683,-97.81939,Cedar Park,TX,89162
